,uniqueID,starID,connectingPointID,connectingStarID,distanceToConnectingPoint,cartesianX,cartesianY,cartesianZ,distanceBetweenPoints
0,0000100001,00001,3192100000,3192100000,,0.0,0.0,0.0,2.391266072795957
1,0000100002,00001,0744100001,0744100000,,0.0,0.0,0.0,2.637014640925226
2,0000100003,00001,3797100000,3797100000,,0.0,0.0,0.0,3.164624728444749
3,0000100004,00001,2045200000,2045200000,,0.0,0.0,0.0,3.454510216787468
4,0000100005,00001,1566100003,1566100000,,0.0,0.0,0.0,1.2957575388540097
5,0000100006,00001,2306100000,2306100000,,0.0,0.0,0.0,3.4859236984334583
6,0000100007,00001,1177100002,1177100000,,0.0,0.0,0.0,2.546143708242919
7,0000100008,00001,0420100000,0420100000,,0.0,0.0,0.0,3.2162540427225275
8,0000100009,00001,2747100000,2747100000,,0.0,0.0,0.0,2.6281850186524163
9,0000100010,00001,2056100000,2056100000,,0.0,0.0,0.0,2.969686499714911
10,0000100011,00001,3753100000,3753100000,,0.0,0.0,0.0,3.394828798378646
11,0000100012,00001,0044200000,0044200000,,0.0,0.0,0.0,3.5685723543316312
12,0000100013,00001,2546100000,2546100000,,0.0,0.0,0.0,3.275981532977407
13,0000100014,00001,1582100003,1582100000,,0.0,0.0,0.0,1.3245695629769694
14,0000100015,00001,3069100002,3069100000,,0.0,0.0,0.0,3.6255408419434474
15,0000100016,00001,1975100001,1975100000,,0.0,0.0,0.0,1.8228031661037893
16,,,,,,16.8378,0.46441000000000004,-19.4284,
17,,,,,,16.7901,0.463341,-19.3737,
18,,,,,,6.83577,0.18854300000000002,-15.2449,
19,,,,,,11.949000000000002,0.344882,6.63205,
20,,,,,,26.5117,0.9573940000000001,-7.021389999999999,
21,,,,,,25.9746,0.951042,14.4613,
22,,,,,,20.7365,0.765325,6.512519999999999,
23,,,,,,12.0876,0.47248599999999996,27.7633,
24,,,,,,20.8521,0.825903,-10.6891,
25,,,,,,8.600010000000001,0.344589,14.4095,
26,,,,,,25.383000000000003,1.22777,-2.57415,
27,,,,,,18.047,0.887717,-5.00004,
28,,,,,,14.7174,0.729614,23.9053,
29,,,,,,17.3775,0.890451,-12.2441,
30,,,,,,23.4376,1.23519,12.0097,
31,,,,,,25.9193,1.42172,10.3371,
32,,,,,,10.7082,0.600442,-17.1056,
33,,,,,,7.06162,0.40914,18.746,
34,,,,,,9.44891,0.5463640000000001,25.0835,
35,,,,,,22.521,1.3266200000000001,-16.8947,
36,,,,,,3.17151,0.18905,19.3292,
37,,,,,,4.77924,0.32306,-1.3856700000000002,
38,,,,,,15.1313,1.06028,-17.0012,
39,,,,,,3.0755,0.21790900000000002,-17.224,
40,,,,,,15.2994,1.0862,5.54029,
41,,,,,,14.3227,1.0178,5.18762,
42,,,,,,14.1542,1.0276,-17.0749,
43,,,,,,13.6727,1.00995,-17.965,
44,,,,,,11.3009,0.845066,9.833169999999999,
45,,,,,,20.1989,1.53106,11.3133,
46,,,,,,14.9612,1.13867,2.34333,
47,,,,,,26.39,2.07476,-6.33355,
48,,,,,,16.0278,1.2808700000000002,2.89385,
49,,,,,,2.57127,0.20667,2.49306,
50,,,,,,2.55776,0.20548000000000002,2.4799900000000004,
51,,,,,,22.9391,1.8756400000000002,-3.25636,
52,,,,,,20.6936,1.72793,-3.6484099999999997,
53,,,,,,30.7978,2.5870599999999997,-1.64873,
54,,,,,,27.1804,2.29295,-9.87872,
55,,,,,,19.4042,1.69823,15.343,
56,,,,,,3.63191,0.318885,-7.77423,
57,,,,,,22.0901,1.94619,-6.80576,
58,,,,,,12.0087,1.10091,29.3556,
59,,,,,,11.9037,1.1109200000000001,-12.270999999999999,
60,,,,,,13.3284,1.26114,-13.9085,
61,,,,,,15.2749,1.4663700000000002,-9.368910000000001,
62,,,,,,25.5992,2.50929,-13.1244,
63,,,,,,20.2905,2.0309,-4.41239,
64,,,,,,18.4607,1.88054,-12.1279,
65,,,,,,12.3475,1.26013,-15.2692,
66,,,,,,4.240880000000001,0.436015,18.7485,
67,,,,,,3.4620699999999998,0.356392,15.3079,
68,,,,,,16.1425,1.72743,-8.28153,
69,,,,,,15.9204,1.72312,-22.0276,
70,,,,,,1.63527,0.18451700000000001,-7.27521,
71,,,,,,17.1069,1.9644700000000002,-16.4436,
72,,,,,,19.0837,2.19828,-17.4833,
73,,,,,,5.55858,0.654911,15.4975,
74,,,,,,7.6808,1.0428,25.9528,
75,,,,,,11.1884,1.58522,-22.2654,
76,,,,,,3.85564,0.550293,9.281310000000001,
77,,,,,,3.87944,0.5534359999999999,9.33873,
78,,,,,,15.3831,2.33087,-20.1838,
79,,,,,,22.605,3.43,-1.81654,
80,,,,,,20.9946,3.23274,19.598,
81,,,,,,12.8063,1.97376,-26.212,
82,,,,,,20.9619,3.2495700000000003,-1.33191,
83,,,,,,20.7594,3.2174,-1.31912,
84,,,,,,21.8665,3.42136,-18.405,
85,,,,,,13.7995,2.26871,-6.45215,
86,,,,,,13.9184,2.28861,-6.50758,
87,,,,,,14.2794,2.40588,18.7575,
88,,,,,,10.1556,1.76163,4.00836,
89,,,,,,16.92,2.98195,-16.7386,
90,,,,,,12.4865,2.22575,-21.493000000000002,
91,,,,,,26.0147,4.65112,-11.6585,
92,,,,,,25.8779,4.65517,-3.33682,
93,,,,,,13.0277,2.3452900000000003,11.1812,
94,,,,,,15.994000000000002,2.92881,-10.8136,
95,,,,,,18.6314,3.5207900000000003,13.5492,
96,,,,,,26.2266,4.97288,11.1442,
97,,,,,,16.7783,3.22701,11.4572,
98,,,,,,27.5836,5.31046,-9.11979,
99,,,,,,29.171999999999997,5.75229,-10.2072,
100,,,,,,8.92218,1.76075,-20.0943,
