,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pra,pdec,rv,ag,absag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,prarad,pdecrad,bayer,fla,con,comp,comp_primary,base,lu,var,var_in,var_ax,mass,mass_t,temperature,radius,radius_t,period,period_t,semiMajorAxis,semiMajorAxis_t,eccentricity,eccentricity_t
2700,0,,,,,,Sol,0,0,0,0,0,0,-26.7,4.85,G2V,0.656,5.00E-06,0,0,0,0,0,0,0,0,0,,,,1,0,,1,,,,1,0,5772,1,0,,,,,,
1583,70666,70890,,,Gl 551,,Proxima Centauri,14.495985,-62.679485,1.2959,-3775.64,768.16,-16,11.01,15.447,M5.5V,1.807,-0.472264,-0.361451,-1.151219,-1.19E-05,2.08E-05,1.68E-05,3.795039917,-1.093963385,-1.83E-05,3.72E-06,,,Cen,1,70666,,5.77E-05,V645,11.079,10.939,0.1221,0.0022,3042,0.1542,0.0045,,,,,,
32,1240,1242,,,GJ 1005A,,,0.257803,-16.133807,4.9868,728.18,-617.48,-29,11.49,13.001,M4V,1.75,4.779241,0.32306,-1.385667,-3.38E-05,1.54E-05,-6.10E-06,0.067492759,-0.281588059,3.53E-06,-2.99E-06,,,Cet,1,1240,GJ 1005,0.000549035,,11.558,11.378,0.184,0.01,3213,0.219,0.011,,,,,,
3173,117973,,,,GJ 1006B,,,0.27094,19.864002,15.2672,695.86,-759.39,0,13.22,12.301,M4.0V,1.6,14.322712,1.017798,5.187622,1.54E-05,5.27E-05,-5.29E-05,0.070931897,0.346692238,3.37E-06,-3.68E-06,GJ 1006B,,,2,1294,GJ 1006,0.001046165,,,,,,,,,,,,,,
2007,87665,87937,,,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,-797.84,9999.99,-111,9.54,13.235,M4V,1.57,-0.017373,-1.816613,0.149123,-5.91E-06,0.0001204,7.89E-05,4.702826032,0.081915079,-3.87E-06,5.01E-05,,,Oph,1,87665,,0.000442588,V2500,9.59,9.49,0.144,0,3134,0.196,0.008,,,,,,
2701,118720,,,,Gl 406,,Wolf 359,10.941484,7.01532,2.3906,-3822.95,-2716.83,13,13.45,16.557,dM6,2,-2.282811,0.649334,0.292057,-4.33E-06,4.73E-05,-2.96E-05,2.864473687,0.122440437,-1.85E-05,-1.32E-05,Gl 406,,,1,118720,,2.08E-05,,,,0.09,0,2800,0.16,0,,,,,,
1185,53879,54035,95735,,Gl 411,,Lalande 21185,11.055632,35.969877,2.5469,-580.2,-4767.09,-84.3,7.49,10.46,M2V,1.502,-1.998,0.504305,1.495504,3.59E-05,-1.66E-06,-9.83E-05,2.894357577,0.627792793,-2.81E-06,-2.31E-05,,,UMa,1,53879,,0.005701643,,,,0.405,0.067,3671,0.377,0.049,,,,,,
35,1294,1295,,,GJ 1006A,,,0.270724,19.860459,16.3079,721.27,-753.06,0,11.79,10.728,M4.0V,1.485,15.299442,1.086202,5.540292,1.61E-05,5.83E-05,-5.60E-05,0.070875367,0.346630404,3.50E-06,-3.65E-06,,,Psc,1,1294,GJ 1006,0.004454511,EZ,11.919,11.639,,,,,,,,,,,
3212,117984,,,,GJ 1010B,,,0.394425,77.191153,15.6986,-798.9,41.87,0,14,13.021,M4.5,,3.462071,0.356392,15.307942,3.19E-06,-6.08E-05,7.10E-07,0.103260286,1.347239776,-3.87E-06,2.03E-07,GJ 1010B,,,2,1856,GJ 1010,0.000539014,,,,,,,,,,,,,,
59,1856,1860,,,GJ 1010A,,,0.391817,77.189292,19.2271,-840.75,45.38,0,11.31,9.89,M2.5V,1.462,4.240884,0.436015,18.748497,3.92E-06,-7.84E-05,9.40E-07,0.10257742,1.347207284,-4.08E-06,2.20E-07,,,Cep,1,1856,GJ 1010,0.00963829,,11.376,11.256,0.533,0.004,3717,0.477,0.014,,,,,,
3972,118007,,,,GJ 1015A,,,0.688591,55.833421,23.0947,300.79,-75,0,14.02,12.202,M4.17,1.55,12.759689,2.326221,19.108746,8.00E-07,3.44E-05,-4.72E-06,0.180272763,0.974477037,1.46E-06,-3.64E-07,GJ 1015A,,,1,118007,GJ 1015,0.001146041,,,,,,,,,,,,,,
2089,92115,92403,,,Gl 729,,,18.830369,-23.836232,2.9698,637.55,-192.47,-12.1,10.37,13.006,M3.5V,1.51,0.585883,-2.652454,-1.200123,6.28E-06,1.41E-05,2.47E-06,4.92977903,-0.416020736,3.09E-06,-9.33E-07,,,Sgr,1,92115,,0.000546512,V1216,10.408,10.338,0.173,0.001,3260,0.21,0.006,,,,,,
2705,119585,,,,Gl 905,,Ross 248,23.698379,44.174924,3.1686,84.26,-1607.79,-77.7,12.29,14.786,M5.0V,1.9,2.262649,-0.179022,2.205274,-3.95E-05,4.43E-06,-7.31E-05,6.204221151,0.770997876,4.09E-07,-7.79E-06,Gl 905,,,1,119585,,0.000106072,,,,0.136,0,2799,0.16,0,,,,,,
423,16496,16537,22049,1084,Gl 144,18Eps Eri,Epsilon Eridani,3.548848,-9.458262,3.2161,-976.44,17.97,16.9,3.72,6.183,K2V,0.881,1.89897,2.541426,-0.528523,2.24E-05,4.58E-06,-2.56E-06,0.929086175,-0.165077816,-4.73E-06,8.71E-08,Eps,18,Eri,1,16496,,0.292954383,Eps,3.735,3.715,0.82,0.02,5084,0.735,0.005,,,,,,
2582,113687,114046,217987,,Gl 887,,Lacaille 9352,23.097531,-35.853073,3.2759,6767.26,1326.66,9.5,7.35,9.773,M2V,1.483,2.581532,-0.621353,-1.918773,4.48E-05,9.97E-05,1.14E-05,6.046919538,-0.625754162,3.28E-05,6.43E-06,,,PsA,1,113687,,0.010734949,,,,0.486,0.012,3692,0.47,0.001,,,,,,
1286,57375,57548,,,Gl 447,,,11.795666,0.804563,3.3553,605.62,-1219.23,-31.1,11.12,13.491,dM4,1.746,-3.349892,0.179372,0.047111,3.10E-05,-1.15E-05,-2.03E-05,3.088098042,0.014042269,2.94E-06,-5.91E-06,,,Vir,1,57375,,0.000349623,,11.171,11.041,,,,,,,,,,,
3973,118008,,,,GJ 1015B,,,0.688871,55.835085,23.0947,300.79,-75,0,14.08,12.262,DB5,0.02,12.758973,2.327057,19.109123,8.00E-07,3.44E-05,-4.72E-06,0.180346065,0.974506067,1.46E-06,-3.64E-07,GJ 1015B,,,2,118007,GJ 1015,0.001084426,,,,,,,,,,,,,,
3512,118028,,,,GJ 1023B,,,0.905117,69.047731,18.7617,-84.89,-29.89,0,10.4,9.034,G0,0.64,6.521582,1.574682,17.521152,4.28E-06,-6.91E-06,-9.70E-07,0.236959055,1.205110246,-4.12E-07,-1.45E-07,GJ 1023B,,Cas,2,4248,GJ 1023,0.021203131,,,,,,,,,,,,,,
131,4918,4927,,,GJ 1026A,,,1.053925,20.097844,16.2285,671.78,44.46,0,11.36,10.309,M3V,1.59,14.663841,4.151931,5.576508,-1.56E-05,5.05E-05,3.28E-06,0.275916925,0.350773548,3.26E-06,2.16E-07,,,Psc,1,4918,GJ 1026,0.006552394,,11.428,11.288,0.535,0.02,2969,0.478,0.023,,,,,,
3360,118039,,,,GJ 1026B,,,1.053908,20.09931,17.094,638.59,42.41,0,12.4,11.236,M3.5,,15.445735,4.373378,5.874326,-1.56E-05,5.06E-05,3.30E-06,0.275912437,0.350799141,3.10E-06,2.06E-07,GJ 1026B,,,2,4918,GJ 1026,0.002789973,,,,,,,,,,,,,,
2876,118096,,,,GJ 1041B,,,1.9868,3.518118,10.7527,290,0,0,14,13.842,M3V,,9.313051,5.334067,0.65983,-7.51E-06,1.31E-05,0,0.520142937,0.061402744,1.41E-06,0,GJ 1041B,,,2,9256,GJ 1041,0.000253046,,,,,,,,,,,,,,
240,9256,9275,,,GJ 1041A,,,1.986772,3.51925,31.1429,258.84,26.45,0,10.89,8.423,M1V,1.47,26.973343,15.44877,1.911672,-1.96E-05,3.38E-05,3.99E-06,0.520135737,0.061422504,1.25E-06,1.28E-07,,,Psc,1,9256,GJ 1041,0.037222025,,10.949,10.809,0.693,0.04,3227,0.678,0.049,,,,,,
3810,118136,,,,GJ 1047A,,,2.350888,36.884928,21.5983,714.15,-564,0,14.05,12.378,M3,1.68,14.104929,9.974211,12.963513,-1.42E-05,8.15E-05,-4.72E-05,0.615460989,0.64376343,3.46E-06,-2.73E-06,GJ 1047A,,,1,118136,GJ 1047,0.000974541,,,,,,,,,,,,,,
3812,118138,,,,GJ 1047C,,,2.350329,36.87995,21.5983,714.15,-564,0,14.26,12.588,M3.5,1.7,14.107308,9.972798,12.962012,-1.42E-05,8.15E-05,-4.72E-05,0.615314737,0.643676564,3.46E-06,-2.73E-06,GJ 1047C,,,3,118136,GJ 1047,0.000803156,,,,,,,,,,,,,,
3811,118137,,,,GJ 1047B,,,2.350888,36.884928,21.5983,714.15,-564,0,14.05,12.378,M3,,14.104929,9.974211,12.963513,-1.42E-05,8.15E-05,-4.72E-05,0.615460989,0.64376343,3.46E-06,-2.73E-06,GJ 1047B,,,2,118136,GJ 1047,0.000974541,,,,,,,,,,,,,,
2448,108526,108870,209100,8387,Gl 845,Eps Ind,Epsilon Indi,22.055486,-56.785977,3.6224,3959.97,-2538.84,-40.4,4.69,6.895,K5V,1.056,1.732589,-0.966715,-3.030307,-1.84E-05,8.99E-05,1.01E-05,5.774112724,-0.991102263,1.92E-05,-1.23E-05,Eps,,Ind,1,108526,,0.152054753,,,,0.691500859,0.0456715,4611.06,0.660403,0.0234471,,,,,,
2709,118541,,,,GJ 1111,,,8.497244,26.778532,3.6258,-1141.11,-601.64,-5,14.81,17.013,M6.5V,2.06,-1.968452,2.569351,1.633464,1.58E-05,1.24E-05,-1.17E-05,2.22457321,0.467373555,-5.53E-06,-2.92E-06,GJ 1111,,,1,118541,,1.36E-05,,,,,,,,,,,,,,
211,8087,8102,10700,509,Gl 71,52Tau Cet,Tau Ceti,1.734479,-15.93748,3.6502,-1721.82,854.07,-17,3.49,5.678,G8V,0.727,3.154083,1.539508,-1.00226,2.07E-06,-3.29E-05,1.93E-05,0.45408544,-0.278161501,-8.35E-06,4.14E-06,Tau,52,Cet,1,8087,,0.466444525,,,,,,,,,,,,,,
147,5632,5643,,,Gl 54.1,,,1.208502,-16.998967,3.6899,1210.09,646.95,28,12.1,14.265,M4.0V,1.85,3.353772,1.097975,-1.078832,2.25E-05,3.01E-05,2.69E-06,0.316385148,-0.296687946,5.87E-06,3.14E-06,,,Cet,1,5632,,0.000171396,YZ,12.201,12.001,,,,,,,,,,,
1863,82472,82724,,,,,,16.908863,-62.399734,3.6964,294.47,205.48,0,11.85,14.011,M,1.729,-0.482554,-1.64315,-3.275755,4.14E-06,-4.62E-06,1.71E-06,4.426729957,-1.089080812,1.43E-06,9.96E-07,,,Ara,1,82472,,0.000216571,,,,,,,,,,,,,,
829,36107,36208,,,Gl 273,,Luyten's Star,7.456805,5.225785,3.8026,571.27,-3694.25,18.2,9.84,11.94,M3.5V,1.573,-1.409549,3.514856,0.346358,-1.90E-05,1.91E-05,-6.61E-05,1.952186962,0.091207157,2.77E-06,-1.79E-05,,,CMi,1,36107,,0.001458814,,,,0.29,0,3382,0.29,0,,,,,,
588,24129,24186,33793,,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,6506.05,-5731.39,245.5,8.86,10.898,M1VI,1.543,0.578997,2.705174,-2.76822,-9.95E-05,0.0001243,-0.00025439,1.359830239,-0.785719603,3.15E-05,-2.78E-05,,,Pic,1,24129,,0.003808904,VZ,9.148,8.828,0.293,0.003,3672,0.301,0.009,,,,,,
2357,104751,105090,202560,,Gl 825,,Lacaille 8760,21.287725,-38.867362,3.9462,-3259,-1146.99,28.2,6.69,8.709,M1V,1.397,2.330004,-2.003156,-2.476477,-3.41E-05,-5.30E-05,-3.52E-05,5.573113374,-0.678363443,-1.58E-05,-5.56E-06,,,Mic,1,104751,,0.028602237,AX,6.707,6.667,0.6,0,3800,0.51,0,,,,,,
366,14519,14555,,,GJ 1054A,,,3.13216,-28.219726,19.2012,-339.14,-119.54,0,10.21,8.793,M1V,,11.542528,12.370176,-9.079367,1.95E-05,-2.54E-05,-9.80E-06,0.819997537,-0.492527127,-1.64E-06,-5.80E-07,,,For,1,14519,GJ 1054,0.026472807,,10.307,10.117,0.636,0.013,3903,0.614,0.019,,,,,,
3386,118226,,,,GJ 1060A,,,3.481626,-27.310647,17.3611,744.08,367.75,0,14,12.802,DA5.4,,9.449172,12.193084,-7.965528,-4.08E-05,4.96E-05,2.75E-05,0.911487635,-0.476660711,3.61E-06,1.78E-06,GJ 1060A,,,1,118226,GJ 1060,0.000659478,,,,,,,,,,,,,,
3387,118227,,,,GJ 1060B,,,3.481626,-27.312314,17.3611,744.08,367.75,0,13.8,12.602,M3,,9.449032,12.1929,-7.965976,-4.08E-05,4.96E-05,2.75E-05,0.911487494,-0.4766898,3.61E-06,1.78E-06,GJ 1060B,,,2,118226,GJ 1060,0.000792866,,,,,,,,,,,,,,
3693,118258,,,,GJ 1064B,,,3.783678,41.430153,20.4499,600.51,-1264.67,51.5,8.75,7.197,K3V,0.9,8.40605,12.825241,13.533576,1.74E-05,0.00013506,-5.91E-05,0.990564671,0.723092577,2.91E-06,-6.13E-06,GJ 1064B,,Per,2,17625,GJ 1064,0.115133047,,,,,,,,,,,,,,
450,17625,17666,23439,,GJ 1064A,,,3.783889,41.427265,21.9058,598.96,-1239.94,49.6,7.67,5.967,K2V,0.796,9.003724,13.73757,14.494677,1.54E-05,0.00013955,-6.52E-05,0.990619727,0.723042167,2.90E-06,-6.01E-06,,,Per,1,17625,GJ 1064,0.357437406,V580,7.954,7.634,1.10734,0.140601,4950,0.920712,0.135801,,,,,,
1864,82473,82725,,,,,,16.908971,-62.403319,4.1465,254.79,173.56,0,11.72,13.632,K0IV,,-0.541199,-1.843027,-3.674755,4.04E-06,-4.41E-06,1.62E-06,4.426758283,-1.089143388,1.24E-06,8.41E-07,,,Ara,1,82473,,0.000307044,,12.005,11.545,,,,,,,,,,,
101,3820,3829,,,Gl 35,,Van Maanen's Star,0.819416,5.38861,4.2626,1233.05,-2710.56,54,12.37,14.222,DZ7.5,0.554,4.146957,0.903519,0.400348,5.35E-05,3.77E-05,-5.06E-05,0.214522514,0.094048979,5.98E-06,-1.31E-05,,,,1,3820,,0.00017832,,12.621,12.091,0.67,0.01,6110,0.011,0.001,,,,,,
2712,118236,,,,GJ 1061,,,3.599704,-44.511897,4.2918,727.33,-399.86,-20,13.03,14.867,M5.5V,1.9,1.798507,2.475398,-3.00808,-2.43E-05,-7.62E-06,8.41E-06,0.942400353,-0.776879156,3.53E-06,-1.94E-06,GJ 1061,,,1,118236,,9.84E-05,,,,,,,,,,,,,,
1817,80579,80824,,,Gl 628,,,16.505017,-12.662594,4.2922,-93.61,-1184.9,-13,10.1,11.937,M3V,1.604,-1.597477,-3.871023,-0.940865,5.21E-06,1.77E-05,-2.11E-05,4.321003265,-0.22100395,-4.54E-07,-5.74E-06,,,Oph,1,80579,,0.001462851,V2306,10.143,10.063,0.29,,3342,0.31,,,,,,,
2856,118387,,,,GJ 1083A,,,5.673804,24.804352,10.3413,105.25,-344.27,0,14.85,14.777,~,1.88,0.800655,9.353063,4.338392,-4.64E-06,7.67E-06,-1.57E-05,1.48539845,0.43291761,5.10E-07,-1.67E-06,GJ 1083A,,,1,118387,GJ 1083,0.000106955,,,,,,,,,,,,,,
3357,118500,,,,GJ 1102A,,,7.837508,7.194697,17.0648,209.57,-1757.55,0,16.69,15.529,DC9,1.1,-7.834021,15.008926,2.137221,-2.38E-05,8.18E-06,-0.00014424,2.051854843,0.125571155,1.02E-06,-8.52E-06,GJ 1102A,,,1,118500,GJ 1102,5.35E-05,,,,,,,,,,,,,,
10,442,439,225213,,Gl 1,,,0.089883,-37.357364,4.3399,5634.07,-2337.94,22.9,8.56,10.373,M2V,1.462,3.448844,0.081384,-2.633508,-1.40E-05,0.00011824,-5.33E-05,0.023531392,-0.652008993,2.73E-05,-1.13E-05,,,Scl,1,442,,0.006177319,,,,0.431,0.003,3577,0.396,0.012,,,,,,
2715,118583,,,,NN 3522,,,8.982236,8.475397,4.4643,322.61,-313.72,0,10.89,12.641,M3.5V,1.67,-3.107711,3.136747,0.657969,-5.66E-06,-4.20E-06,-6.72E-06,2.351543863,0.147923578,1.56E-06,-1.52E-06,GJ 3522,,Cnc,1,118583,,0.000764892,,,,,,,,,,,,,,
2716,118100,,,,Gl 83.1,,,2.003563,13.05304,4.4683,1113.71,-1768.54,-31,12.28,14.029,M4.5V,1.8,3.76629,2.179192,1.008821,-3.13E-05,9.76E-06,-4.45E-05,0.524531584,0.227818533,5.40E-06,-8.57E-06,Gl 83.1,,,1,118100,,0.00021301,,,,,,,,,,,,,,
2717,118704,,,,NN 3618,,,10.742414,-61.193586,4.4883,-340.24,1614.54,0,13.92,15.66,M5.5V,1.82,-2.046475,0.699423,-3.932885,-2.67E-05,1.70E-05,1.69E-05,2.812357364,-1.068029559,-1.65E-06,7.83E-06,GJ 3618,,,1,118704,,4.74E-05,,,,,,,,,,,,,,
2718,118707,,,,NN 3622,,,10.803471,-11.336727,4.5249,601.06,-1525.88,-7,15.6,17.322,M6.5V,2.1,-4.220385,1.367034,-0.889411,8.86E-06,-1.67E-05,-3.14E-05,2.82834211,-0.197863208,2.91E-06,-7.40E-06,GJ 3622,,,1,118707,,1.03E-05,,,,,,,,,,,,,,
1961,85899,86162,,,Gl 687,,,17.607283,68.339141,4.5282,-320.47,-1269.55,-23.2,9.15,10.87,M3.0V,1.505,-0.171572,-1.662506,4.208248,-8.76E-06,-1.63E-05,-3.23E-05,4.609575949,1.192743024,-1.55E-06,-6.15E-06,,,Dra,1,85899,,0.003908409,,,,0.41,,3413,0.42,,,,,,,
1945,85264,85523,,,Gl 674,,,17.47772,-46.89519,4.5405,573.32,-879.84,-10.2,9.38,11.094,M3V,1.553,-0.422874,-3.073668,-3.314975,1.54E-05,1.94E-05,-5.62E-06,4.57565634,-0.818475472,2.78E-06,-4.27E-06,,,Ara,1,85264,,0.003179801,,,,0.35,,3600,,,,,,,,
1277,57194,57367,,,Gl 440,,,11.761338,-64.841517,4.6081,2665.17,-346.83,0,11.5,13.182,DQ,0.196,-1.955207,0.122023,-4.170954,3.27E-06,-5.99E-05,-3.29E-06,3.079111183,-1.131697965,1.29E-05,-1.68E-06,,,Mus,1,57194,,0.000464729,,11.575,11.405,1.91552,0.386955,7963,0.0109362,0.00110977,,,,,,
1423,63518,63721,113447,,,,,13.057957,25.797084,4.6164,-43.77,-16.46,-34,8.75,10.428,F3V,0.455,-3.997663,-1.136452,2.008857,2.97E-05,9.46E-06,-1.55E-05,3.418565169,0.450244053,-2.12E-07,-7.98E-08,,,Co,1,63518,,0.005872189,,,,,,,,,,,,,,
3358,118501,,,,GJ 1102B,,,7.837231,7.198049,17.0648,209.57,-1757.55,0,16.98,15.819,DC9,1.3,-7.832876,15.009382,2.138211,-2.38E-05,8.19E-06,-0.00014424,2.051782397,0.125629648,1.02E-06,-8.52E-06,GJ 1102B,,,2,118500,GJ 1102,4.10E-05,,,,,,,,,,,,,,
2551,112660,113020,,,Gl 876,,,22.887977,-14.263701,4.6887,960.33,-675.64,-1.5,10.16,11.805,M3.5V,1.597,4.352933,-1.304309,-1.155222,1.22E-06,2.24E-05,-1.45E-05,5.992058277,-0.248948538,4.66E-06,-3.28E-06,,,Aqr,1,112660,,0.001651962,IL,10.202,10.102,0.33,,,,,,,,,,
2719,117960,,,,GJ 1002,,,0.112155,-7.539302,4.6992,-816.71,-1869.38,-42,13.75,15.39,M5.5V,1.98,4.65444,0.136696,-0.616283,-4.76E-05,-2.00E-05,-3.66E-05,0.029362213,-0.131585649,-3.96E-06,-9.06E-06,GJ 1002,,,1,117960,,6.08E-05,,,,,,,,,,,,,,
2804,118503,,,,GJ 1103A,,,7.865175,-0.002777,8.7873,252.44,-716.85,52,13.5,13.781,M4.5V,1.68,-4.123605,7.762685,-0.000425,-3.44E-05,4.19E-05,-3.05E-05,2.059098091,-4.85E-05,1.22E-06,-3.48E-06,GJ 1103A,,,1,118503,GJ 1103,0.00026767,,,,,,,,,,,,,,
2805,118504,,,,GJ 1103B,,,7.865454,-0.001128,8.7873,252.44,-716.85,0,15,15.281,~,,-4.122923,7.760035,-0.000173,-9.50E-06,-5.04E-06,-3.05E-05,2.059170939,-1.97E-05,1.22E-06,-3.48E-06,GJ 1103B,,,2,118503,GJ 1103,6.72E-05,,,,,,,,,,,,,,
2585,113750,114110,,,,,,23.11082,-14.872194,4.804,112.27,83.24,0,12.24,13.832,~,,4.517834,-1.071109,-1.233013,1.09E-06,2.43E-06,1.87E-06,6.050398607,-0.259568756,5.44E-07,4.04E-07,,,,1,113750,,0.000255388,,12.955,10.405,,,,,,,,,,,
3365,118526,,,,GJ 1108B,,,8.148735,32.816982,17.2414,-51.87,-203.49,0,12.12,10.937,M2.8,1.53,-7.727866,12.256985,9.344104,-1.25E-06,1.01E-05,-1.43E-05,2.133333812,0.572764388,-2.51E-07,-9.87E-07,GJ 1108B,,,2,39783,GJ 1108,0.003674515,,,,,,,,,,,,,,
912,39783,39896,,,GJ 1108A,,,8.149001,32.81977,21.2721,-30,-217.2,4,9.9,8.261,K6V,1.4,-9.535293,15.121293,11.52946,-5.69E-06,1.48E-05,-1.66E-05,2.13340353,0.572813039,-1.45E-07,-1.05E-06,,,Cnc,1,39783,GJ 1108,0.043211565,FP,10.038,9.798,0.677,0.039,3827,0.659,0.046,,,,,,
1109,49767,49908,88230,,Gl 380,,,10.189602,49.454237,4.8731,-1361.55,-505,-25.4,6.6,8.161,K6V,1.326,-2.818415,1.445842,3.702832,2.16E-05,2.51E-05,-2.75E-05,2.667631674,0.86313926,-6.60E-06,-2.45E-06,,,UMa,1,49767,,0.047380539,,,,0.714,0.049,3925,0.703,0.061,,,,,,
2723,118676,,,,Gl 388,,,10.326843,19.870262,4.9044,-497.26,-52.26,12.3,9.4,10.947,dM3,1.54,-4.17747,1.956673,1.667178,-6.08E-06,1.59E-05,3.11E-06,2.703561278,0.346801489,-2.41E-06,-2.53E-07,Gl 388,,Leo,1,118676,,0.003640827,,,,,,,,,,,,,,
2389,106098,106440,204961,,Gl 832,,,21.559441,-49.009006,4.9537,-46.18,-818.01,4.1,8.66,10.185,M2.5V,1.521,2.608354,-1.937731,-3.739143,-1.04E-05,6.31E-06,-1.61E-05,5.644248573,-0.85536852,-2.24E-07,-3.97E-06,,,Gru,1,106098,,0.007345139,,,,0.45,,3472,,,,,,,,
2727,118578,,,,GJ 1116A,,,8.970901,19.763287,5.2274,-869.3,-34.91,-34,14.06,15.469,M8V,1.84,-3.450811,3.503886,1.766979,3.85E-05,-7.64E-06,-1.26E-05,2.348576389,0.344934434,-4.21E-06,-1.69E-07,GJ 1116A,,,1,118578,GJ 1116,5.65E-05,,,,0.12,0,2896,~,0,,,,,,
2728,118579,,,,GJ 1116B,,,8.970901,19.764954,5.2274,-869.3,-34.91,0,14.92,16.329,M7V,1.93,-3.451925,3.505014,1.76771,1.55E-05,1.57E-05,-8.30E-07,2.348576504,0.344963523,-4.21E-06,-1.69E-07,GJ 1116B,,,2,118578,GJ 1116,2.56E-05,,,,0.1,0,~,~,0,360,0,33,0,~,0
999,44167,44295,77175,,GJ 1120A,,,9.021522,15.265768,15.9744,-126.16,-317.78,-12,8.67,7.653,K5,1.285,-10.95819,10.835398,4.205979,1.07E-05,3.18E-06,-2.70E-05,2.361828925,0.266437911,-6.12E-07,-1.54E-06,,,Cnc,1,44167,GJ 1120,0.075648444,,,,,,,,,,,,,,
3449,118591,,,,GJ 1120B,,,9.021511,15.264382,18.1818,-109.2,-363.97,-12.7,9.49,8.192,K5,,-12.472109,12.332441,4.786614,9.67E-06,3.97E-06,-3.44E-05,2.361826121,0.266413725,-5.29E-07,-1.76E-06,GJ 1120B,,Cnc,2,44167,GJ 1120,0.046046858,,,,,,,,,,,,,,
1963,85951,86214,,,Gl 682,,,17.617729,-44.319215,5.0787,-710.11,-937.99,-60,10.94,12.411,M3.5,1.655,-0.363042,-3.615031,-3.547885,-1.14E-05,6.15E-05,2.64E-05,4.612310785,-0.773516227,-3.44E-06,-4.55E-06,,,Sco,1,85951,,0.000945366,,11.004,10.884,,,,,,,,,,,
3653,118616,,,,GJ 1122A,,,9.322205,38.523203,20.1613,-249.85,8.72,0,14.52,12.997,~,1.68,-12.053299,10.174252,12.557094,1.62E-05,1.83E-05,6.70E-07,2.440547649,0.672356728,-1.21E-06,4.23E-08,GJ 1122A,,,1,118616,GJ 1122,0.000551061,,,,,,,,,,,,,,
3654,118617,,,,GJ 1122B,,,9.322206,38.52487,20.1613,-249.85,8.72,0,14.67,13.147,~,1.68,-12.053021,10.174015,12.557552,1.62E-05,1.83E-05,6.70E-07,2.440547802,0.672385817,-1.21E-06,4.23E-08,GJ 1122B,,,2,118616,GJ 1122,0.000479954,,,,,,,,,,,,,,
2535,112106,112460,,,Gl 873,,,22.780527,44.333991,5.1224,-704.66,-459.39,-0.5,10.29,11.743,M4.0V,1.54,3.478781,-1.15001,3.579733,1.73E-06,-1.90E-05,-8.52E-06,5.963927917,0.773774115,-3.42E-06,-2.23E-06,,,Lac,1,112106,,0.001749041,EV,10.386,10.206,0.352,0.005,3273,0.341,0.01,,,,,,
2198,97338,97649,187642,7557,Gl 768,53Alp Aql,Altair,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7V,0.221,2.355468,-4.4873,0.790749,-1.12E-06,3.09E-05,5.36E-06,5.195772106,0.154781417,2.60E-06,1.87E-06,Alp,53,Aql,1,97338,,11.37627286,Alp,0.803,0.753,1.65076,0.378382,7747.24,1.80105,0.154507,,,,,,
1038,46493,46626,82342,,GJ 1126A,,,9.507804,-32.1034,19.3087,-66.81,315.93,0,8.31,6.881,K3.5V,0.985,-12.996568,9.930506,-10.261587,-8.69E-06,1.45E-05,2.51E-05,2.489137293,-0.560310037,-3.24E-07,1.53E-06,,,Ant,1,46493,GJ 1126,0.154028115,,,,,,,,,,,,,,
3865,118630,,,,GJ 1126B,,,9.507739,-32.100961,22.2222,-74.42,382.83,0,13.08,11.346,g,1.46,-14.9578,11.429527,-11.809162,-1.26E-05,1.97E-05,3.49E-05,2.489120234,-0.560267462,-3.61E-07,1.86E-06,GJ 1126B,,,2,46493,GJ 1126,0.002521158,,,,,,,,,,,,,,
1522,67380,67593,,,,,,13.85077,23.776677,5.3259,2281.92,5369.43,0,13.31,14.678,~,,-4.312826,-2.270248,2.147258,7.69E-05,-2.61E-05,0.00012688,3.626123219,0.414981293,1.11E-05,2.60E-05,,,,1,67380,,0.000117166,,,,,,,,,,,,,,
1272,56975,57146,,,,,,11.719981,-39.432645,5.3419,-182.96,60.92,0,9.64,11.002,~,,-4.114851,0.302206,-3.393018,-6.50E-07,4.80E-06,1.22E-06,3.068283812,-0.68822949,-8.87E-07,2.95E-07,,,Cen,1,56975,,0.003460987,,9.808,8.448,,,,,,,,,,,
1285,57371,57544,,,Gl 445,,,11.794333,78.69116,5.3516,743.21,480.4,-112.2,10.8,12.158,M4.0V,1.572,-1.047725,0.056332,5.246711,3.36E-05,-2.11E-05,-0.00011008,3.087749196,1.373419839,3.60E-06,2.33E-06,,,Ca,1,57371,,0.001193438,,10.866,10.736,0.25,0.003,3308,0.27,0.008,,,,,,
2729,118406,,,,NN 3379,,,6.000991,2.707087,5.3677,228.25,-74.16,0,11.33,12.681,M3.5V,1.68,-0.001391,5.361709,0.253516,-5.94E-06,9.00E-08,-1.93E-06,1.571055735,0.047247589,1.11E-06,-3.60E-07,GJ 3379,,Ori,1,118406,,0.000737225,,,,,,,,,,,,,,
