uniqueID,starID,connectingPointID,connectingStarID,distanceToConnectingPoint,cartesianX,cartesianY,cartesianZ,starSystemID,distanceToPrimary,arc
0000100001,0000100000,3192100001,3192100000,2.391266072795957,0.0,0.0,0.0,0000000000,5.1686,14.0
0000100002,0000100000,0744100002,0744100000,2.6370146409252264,0.0,0.0,0.0,0000000000,1.9232,235.0
0000100003,0000100000,1566100004,1566100000,1.2957575388540097,0.0,0.0,0.0,0000000000,5.8898,247.0
0000100004,0000100000,1177100002,1177100000,2.546143708242919,0.0,0.0,0.0,0000000000,2.6444,190.0
0000100005,0000100000,2747100001,2747100000,2.6281850186524163,0.0,0.0,0.0,0000000000,1.9232,214.0
0000100006,0000100000,2056100001,2056100000,2.969686499714911,0.0,0.0,0.0,0000000000,5.8898,181.0
0000100007,0000100000,1582100002,1582100000,1.3245695629769694,0.0,0.0,0.0,0000000000,4.808,326.0
0000100008,0000100000,1975100001,1975100000,1.8228031661037891,0.0,0.0,0.0,0000000000,5.1686,145.0
0001100001,0001100000,2601100001,2601100000,1.6123650259544204,10.3742,0.030419,-28.0091,0001000000,1.6828,159.0
0001100002,0001100000,2577200001,2577200000,2.974439711979552,10.3742,0.030419,-28.0091,0001000000,6.7312,332.0
0001100003,0001100000,2578100001,2578100000,2.705096213483173,10.3742,0.030419,-28.0091,0001000000,4.9282,322.0
0003100001,0003100000,2554100001,2554100000,1.3490358166042151,5.67201,0.053101,-14.2398,0003000000,0.601,247.0
0003100002,0003100000,0010100002,0010100000,0.5792274153292464,5.67201,0.053101,-14.2398,0003000000,3.1252,99.0
0003100003,0003100000,0015100001,0015100000,1.5436670246409998,5.67201,0.053101,-14.2398,0003000000,6.3706000000000005,154.0
0004100001,0004100000,2588100001,2588100000,2.973039280134893,10.8347,0.102555,5.5404300000000015,0004000000,5.1686,274.0
0004100002,0004100000,3798100001,3798100000,1.1999550025663448,10.8347,0.102555,5.5404300000000015,0004000000,2.6444,57.0
0004100003,0004100000,2678100001,2678100000,1.5859687607528712,10.8347,0.102555,5.5404300000000015,0004000000,5.5292,289.0
0004100004,0004100000,3778100002,3778100000,2.8343644714335876,10.8347,0.102555,5.5404300000000015,0004000000,1.9232,59.0
0004100005,0004100000,0016100001,0016100000,1.578613660567081,10.8347,0.102555,5.5404300000000015,0004000000,0.8414,105.0
0004100006,0004100000,2696100001,2696100000,1.9414611488579927,10.8347,0.102555,5.5404300000000015,0004000000,1.5626,13.0
0004100007,0004100000,2666100001,2666100000,1.9932023412792297,10.8347,0.102555,5.5404300000000015,0004000000,2.6444,115.0
0004100008,0004100000,3817100001,3817100000,1.9172443703245041,10.8347,0.102555,5.5404300000000015,0004000000,3.7262,167.0
0004100009,0004100000,0078100002,0078100000,2.3581656325468328,10.8347,0.102555,5.5404300000000015,0004000000,2.0434,358.0
0004100010,0004100000,0107100001,0107100000,2.3459484307897736,10.8347,0.102555,5.5404300000000015,0004000000,5.8898,189.0
0004100011,0004100000,2670100002,2670100000,2.931596438626744,10.8347,0.102555,5.5404300000000015,0004000000,1.3222,289.0
0005100001,0005100000,2656100001,2656100000,2.4543309725750118,30.6162,0.315156,5.95495,0005000000,6.01,113.0
0006100001,0006100000,2648100001,2648100000,1.5252794218860353,29.1049,0.421232,2.38642,0006000000,2.404,246.0
0007100001,0007100000,2658100001,2658100000,0.6105481393641294,23.9342,0.487833,16.3127,0007000000,4.808,282.0
0007100002,0007100000,0018100001,0018100000,2.7938283228718603,23.9342,0.487833,16.3127,0007000000,5.5292,37.0
0007100003,0007100000,2636100001,2636100000,1.7727247812475009,23.9342,0.487833,16.3127,0007000000,5.5292,271.0
0008100001,0008100000,2647100003,2647100000,1.3750562945294282,24.2397,0.522425,10.4265,0008000000,2.2838,353.0
0008100002,0008100000,2622100003,2622100000,2.902642201912768,24.2397,0.522425,10.4265,0008000000,3.3656,177.0
0008100003,0008100000,0027100001,0027100000,1.912569108614117,24.2397,0.522425,10.4265,0008000000,1.9232,191.0
0008100004,0008100000,0028100001,0028100000,1.907296520477349,24.2397,0.522425,10.4265,0008000000,3.3656,116.0
0009100001,0009100000,2678100003,2678100000,2.974932782390889,7.84376,0.17736500000000002,8.06419,0009000000,4.808,86.0
0009100002,0009100000,0012100002,0012100000,0.05880471808452035,7.84376,0.17736500000000002,8.06419,0009000000,2.404,351.0
0009100003,0009100000,0012200002,0012200000,0.5001368895102617,7.84376,0.17736500000000002,8.06419,0009000000,6.7312,159.0
0009100004,0009100000,2667100001,2667100000,0.9567411959647196,7.84376,0.17736500000000002,8.06419,0009000000,2.0434,124.0
0010100001,0010100000,2554100003,2554100000,1.6775282295341565,5.99334,0.138488,-14.7141,0010000000,1.9232,279.0
0010100002,0010100000,0003100002,0003100000,0.5792274153292464,5.99334,0.138488,-14.7141,0010000000,2.6444,167.0
0010100003,0010100000,0015100002,0015100000,0.9969666232753228,5.99334,0.138488,-14.7141,0010000000,0.1202,36.0
0011100001,0011100000,2322100003,2322100000,2.3710303782187183,3.44884,0.081384,-2.63351,0011000000,1.9232,81.0
0011100002,0011100000,0033100001,0033100000,1.8399663351746405,3.44884,0.081384,-2.63351,0011000000,0.4808,280.0
0011100003,0011100000,2354100004,2354100000,2.4506453195017843,3.44884,0.081384,-2.63351,0011000000,0.1202,358.0
0011100004,0011100000,2413100001,2413100000,2.049750183876318,3.44884,0.081384,-2.63351,0011000000,2.6444,176.0
0011100005,0011100000,0148100002,0148100000,1.8599826973700588,3.44884,0.081384,-2.63351,0011000000,1.202,180.0
0011100006,0011100000,2856100002,2856100000,2.9317579030431555,3.44884,0.081384,-2.63351,0011000000,1.6828,253.0
0011100007,0011100000,0210100004,0210100000,2.2077118136151737,3.44884,0.081384,-2.63351,0011000000,3.4858,195.0
0011100008,0011100000,2747200003,2747200000,2.3760899081086966,3.44884,0.081384,-2.63351,0011000000,3.4858,201.0
0011100009,0011100000,3753100001,3753100000,2.1570102238879163,3.44884,0.081384,-2.63351,0011000000,2.0434,19.0
0011100010,0011100000,2546100006,2546100000,1.3254882854514407,3.44884,0.081384,-2.63351,0011000000,1.9232,329.0
0011100011,0011100000,2516100001,2516100000,2.218753684805053,3.44884,0.081384,-2.63351,0011000000,1.9232,186.0
0012100001,0012100000,2678100004,2678100000,2.958350242939636,7.87878,0.195428,8.10784,0012000000,1.9232,135.0
0012100002,0012100000,0009100002,0009100000,0.05880471808452035,7.87878,0.195428,8.10784,0012000000,3.3656,135.0
0012100003,0012100000,0012200003,0012200000,0.4438098369076563,7.87878,0.195428,8.10784,0012000000,1.5626,31.0
0012100004,0012100000,2667100002,2667100000,0.9653377614291286,7.87878,0.195428,8.10784,0012000000,3.7262,217.0
0012200001,0012200000,2678100005,2678100000,2.8571909732156504,8.1881,0.202922,8.42601,0012000000,1.9232,96.0
