,Unnamed: 0,uniqueID,starID,connectingPointID,connectingStarID,distanceToConnectingPoint,cartesianX,cartesianY,cartesianZ,distanceToPrimary,arc
0,0,0000100001,0000100000,3192100000,3192100000,2.391266072795957,0.0,0.0,0.0,15.1452,253.0
1,1,0000100002,0000100000,0744100001,0744100000,2.6370146409252264,0.0,0.0,0.0,13.7028,174.0
2,2,0000100003,0000100000,3797100003,3797100000,1.2957575388540097,0.0,0.0,0.0,15.8664,256.0
3,3,0000100004,0000100000,2045200002,2045200000,2.546143708242919,0.0,0.0,0.0,7.212,121.0
4,4,0000100005,0000100000,1566100000,1566100000,2.6281850186524163,0.0,0.0,0.0,16.587600000000002,356.0
5,5,0000100006,0000100000,2306100000,2306100000,2.969686499714911,0.0,0.0,0.0,7.212,112.0
6,6,0000100007,0000100000,1177100003,1177100000,1.3245695629769694,0.0,0.0,0.0,12.9816,49.0
7,7,0000100008,0000100000,0420100001,0420100000,1.8228031661037891,0.0,0.0,0.0,15.8664,63.0
8,8,0001100001,0001100000,2643100000,2643100000,1.6123650259544204,10.3742,0.030419,-28.0091,9.3756,288.0
9,9,0001100002,0001100000,2820100001,2820100000,2.974439711979552,10.3742,0.030419,-28.0091,7.212,295.0
10,10,0001100003,0001100000,0235100000,0235100000,2.705096213483173,10.3742,0.030419,-28.0091,13.7028,319.0
11,11,0003100001,0003100000,2554100000,2554100000,1.3490358166042151,5.67201,0.053101,-14.2398,12.9816,4.0
12,12,0003100002,0003100000,2380100001,2380100000,0.5792274153292464,5.67201,0.053101,-14.2398,10.0968,52.0
13,13,0003100003,0003100000,2618100000,2618100000,1.5436670246409998,5.67201,0.053101,-14.2398,15.8664,353.0
14,14,0004100001,0004100000,2588100006,2588100000,2.9730392801348926,10.8347,0.102555,5.5404300000000015,18.03,154.0
15,15,0004100002,0004100000,3798100001,3798100000,1.1999550025663452,10.8347,0.102555,5.5404300000000015,7.212,356.0
16,16,0004100003,0004100000,3799100000,3799100000,1.585968760752872,10.8347,0.102555,5.5404300000000015,7.9332,178.0
17,17,0004100004,0004100000,2678100002,2678100000,2.834364471433588,10.8347,0.102555,5.5404300000000015,16.587600000000002,244.0
18,18,0004100005,0004100000,2711200000,2711200000,1.5786136605670815,10.8347,0.102555,5.5404300000000015,5.0484,297.0
19,19,0004100006,0004100000,3778100000,3778100000,1.9414611488579931,10.8347,0.102555,5.5404300000000015,17.3088,168.0
20,20,0004100007,0004100000,0016100000,0016100000,1.9932023412792288,10.8347,0.102555,5.5404300000000015,7.212,155.0
21,21,0004100008,0004100000,2696100002,2696100000,1.9172443703245041,10.8347,0.102555,5.5404300000000015,12.2604,148.0
22,22,0005100001,0005100000,0086100002,0086100000,2.4543309725750118,30.6162,0.315156,5.95495,15.8664,309.0
23,23,0006100001,0006100000,0005100002,0005100000,1.5252794218860353,29.1049,0.421232,2.38642,6.4908,100.0
24,24,0007100001,0007100000,2591100000,2591100000,0.6105481393641294,23.9342,0.487833,16.3127,18.03,152.0
25,25,0007100002,0007100000,2658100003,2658100000,2.7938283228718603,23.9342,0.487833,16.3127,7.9332,233.0
26,26,0007100003,0007100000,0072100002,0072100000,1.7727247812475009,23.9342,0.487833,16.3127,11.539200000000001,73.0
27,27,0008100001,0008100000,2672100005,2672100000,1.3750562945294282,24.2397,0.522425,10.4265,15.8664,117.0
28,28,0008100002,0008100000,0086100006,0086100000,2.902642201912768,24.2397,0.522425,10.4265,17.3088,323.0
29,29,0008100003,0008100000,2673100003,2673100000,1.912569108614117,24.2397,0.522425,10.4265,5.0484,2.0
30,30,0008100004,0008100000,2647100005,2647100000,1.907296520477349,24.2397,0.522425,10.4265,16.587600000000002,25.0
31,31,0009100001,0009100000,2409100004,2409100000,2.974932782390889,7.84376,0.17736500000000002,8.06419,9.3756,245.0
32,32,0009100002,0009100000,0202100002,0202100000,0.05880471808452035,7.84376,0.17736500000000002,8.06419,9.3756,234.0
33,33,0009100003,0009100000,3798100004,3798100000,0.5001368895102617,7.84376,0.17736500000000002,8.06419,4.3272,57.0
34,34,0009100004,0009100000,3799100000,3799100000,0.9567411959647196,7.84376,0.17736500000000002,8.06419,9.3756,292.0
35,35,0010100001,0010100000,2554100005,2554100000,1.6775282295341565,5.99334,0.138488,-14.7141,7.9332,290.0
36,36,0010100002,0010100000,0003100004,0003100000,0.5792274153292464,5.99334,0.138488,-14.7141,10.0968,132.0
37,37,0010100003,0010100000,2380100003,2380100000,0.9969666232753228,5.99334,0.138488,-14.7141,8.6544,207.0
38,38,0011100001,0011100000,0399100002,0399100000,2.3710303782187183,3.44884,0.081384,-2.63351,16.587600000000002,271.0
39,39,0011100002,0011100000,2322100000,2322100000,1.8399663351746405,3.44884,0.081384,-2.63351,5.0484,138.0
40,40,0011100003,0011100000,0033100003,0033100000,2.4506453195017843,3.44884,0.081384,-2.63351,7.212,238.0
41,41,0011100004,0011100000,2354100000,2354100000,2.049750183876318,3.44884,0.081384,-2.63351,5.7696000000000005,213.0
42,42,0011100005,0011100000,2413100001,2413100000,1.8599826973700588,3.44884,0.081384,-2.63351,5.0484,72.0
43,43,0011100006,0011100000,0148100009,0148100000,2.9317579030431555,3.44884,0.081384,-2.63351,12.2604,273.0
44,44,0011100007,0011100000,2683100007,2683100000,2.2077118136151737,3.44884,0.081384,-2.63351,7.212,166.0
45,45,0011100008,0011100000,2856100002,2856100000,2.376089908108697,3.44884,0.081384,-2.63351,16.587600000000002,247.0
46,46,0012100001,0012100000,0202100006,0202100000,2.9583502429396358,7.87878,0.195428,8.10784,5.7696000000000005,300.0
47,47,0012100002,0012100000,2678100008,2678100000,0.05880471808452035,7.87878,0.195428,8.10784,6.4908,38.0
48,48,0012100003,0012100000,0009100007,0009100000,0.4438098369076563,7.87878,0.195428,8.10784,6.4908,169.0
49,49,0012100004,0012100000,0012200001,0012200000,0.9653377614291286,7.87878,0.195428,8.10784,5.0484,80.0
50,50,0012200001,0012200000,0202100007,0202100000,2.8571909732156504,8.1881,0.202922,8.42601,10.818,218.0
51,51,0012200002,0012200000,3798100009,3798100000,0.5001368895102617,8.1881,0.202922,8.42601,14.424,140.0
52,52,0012200003,0012200000,2678100003,2678100000,0.4438098369076563,8.1881,0.202922,8.42601,12.2604,183.0
53,53,0012200004,0012200000,3744100008,3744100000,1.9145603878969188,8.1881,0.202922,8.42601,14.424,197.0
54,54,0012200005,0012200000,0009100002,0009100000,1.1885238198828838,8.1881,0.202922,8.42601,7.9332,134.0
55,55,0013100001,0013100000,2642100004,2642100000,2.6543320802192407,11.238,0.307211,18.3003,6.4908,277.0
56,56,0013100002,0013100000,0115100006,0115100000,1.1944453461858364,11.238,0.307211,18.3003,6.4908,334.0
57,57,0013100003,0013100000,0030100007,0030100000,2.757632649955393,11.238,0.307211,18.3003,5.7696000000000005,287.0
58,58,0013100004,0013100000,2699100005,2699100000,2.6546917754799715,11.238,0.307211,18.3003,18.03,359.0
59,59,0013200001,0013200000,0115100008,0115100000,2.6834245620430632,10.6128,0.289466,17.2827,11.539200000000001,61.0
60,60,0013200002,0013200000,0030100005,0030100000,2.2235685962949265,10.6128,0.289466,17.2827,5.0484,102.0
61,61,0013200003,0013200000,3796100006,3796100000,1.1944453461858364,10.6128,0.289466,17.2827,17.3088,305.0
62,62,0013200004,0013200000,2654100006,2654100000,2.386009643775355,10.6128,0.289466,17.2827,18.03,51.0
63,63,0013200005,0013200000,0166100006,0166100000,2.9689744271205827,10.6128,0.289466,17.2827,7.9332,125.0
64,64,0013200006,0013200000,2716100005,2716100000,2.674479414214288,10.6128,0.289466,17.2827,14.424,324.0
65,65,0014100001,0014100000,2645100001,2645100000,2.9087886683119497,16.8378,0.46441,-19.4284,14.424,81.0
